6,8,14
2,10,14
1,11,14
1,14,14
5,18,14
7,19,14
10,20,14
15,21,14
17,21,14
22,20,14
25,17,14
25,15,14
23,12,14
20,10,14
18,9,14
14,8,14
12,6,16
26,12,16
22,8,16
20,7,16
17,6,16
11,26,17
13,27,17
16,27,17
18,26,17
24,8,18
21,6,18
11,29,20
15,30,20
18,5,20
20,30,21
24,28,21
26,26,21
5,24,22
6,26,22
9,29,22
11,30,22
21,5,22
14,4,23
11,5,23
15,31,23
21,31,23
23,30,23
27,27,23
28,25,23
29,22,23
16,4,23
14,31,24
18,4,25
5,24,26
25,29,26
30,22,26
31,17,26
30,12,26
28,9,26
24,6,26
22,5,26
7,27,28
9,29,28
12,31,28
21,31,29
23,30,29
13,31,30
19,31,30
27,27,31
6,8,32
4,11,32
3,15,32
3,16,32
30,24,32
32,18,32
32,16,32
31,13,32
28,9,32
14,3,33
11,4,33
9,5,33
7,7,33
18,3,33
24,6,34
17,4,36
10,6,36
5,11,36
4,14,36
4,20,36
30,14,36
28,10,36
25,7,36
21,5,36
4,16,37
4,17,37
5,14,38
5,22,38
7,25,38
9,27,38
15,30,38
21,30,38
25,28,38
29,24,38
30,21,38
30,16,38
14,6,39
10,8,39
7,11,39
6,13,39
5,16,39
5,17,39
29,15,39
28,13,39
26,10,39
25,9,39
19,6,39
28,20,41
28,16,41
27,14,41
25,11,41
23,10,41
15,10,43
10,24,43
12,26,43
14,27,43
18,27,43
20,11,43
18,10,43
15,14,45
13,15,45
10,18,45
10,20,45
16,16,46
14,17,46
11,20,46
11,21,46
12,23,46
13,24,46
16,25,46
19,25,46
21,24,46
24,22,46
24,19,46
23,17,46
21,16,46
